# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 AVT
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection AVT 
5467.25 0 710.209 -76.0666 0 0 0 
5522.94 0 710.143 8.09691 0 0 0 
5579.19 0 710.147 64.8805 0 0 0 
5636 0 710.181 93.2013 0 0 0 
5693.39 0 710.182 109.278 0 0 0 
5751.35 0 710.162 105.141 0 0 0 
5809.9 0 710.167 61.8352 0 0 0 
5869.03 0 710.187 -4.62912 0 0 0 
5928.76 0 710.194 -53.4536 0 0 0 
5989.08 0 710.15 -72.7906 0 0 0 
6050.01 0 710.129 -81.4061 0 0 0 
6111.56 0 710.192 -80.8626 0 0 0 
6173.72 0 710.223 -51.8028 0 0 0 
6236.5 0 710.175 2.31706 0 0 0 
6299.92 0 710.113 51.2178 0 0 0 
6363.97 0 710.147 78.666 0 0 0 
6428.66 0 710.233 88.733 0 0 0 
6494.01 0 710.208 76.2209 0 0 0 
6560.01 0 710.117 31.7031 0 0 0 
6626.67 0 710.132 -32.5583 0 0 0 
6694 0 710.217 -93.059 0 0 0 
6762.01 0 710.204 -125.245 0 0 0 
6830.7 0 710.147 -96.2877 0 0 0 
6900.08 0 710.135 -8.26369 0 0 0 
6970.16 0 710.191 74.6947 0 0 0 
7040.94 0 710.214 112.581 0 0 0 
7112.43 0 710.143 121.291 0 0 0 
7184.64 0 710.142 79.7328 0 0 0 
7257.58 0 710.208 -36.0701 0 0 0 
7331.24 0 710.186 -140.447 0 0 0 
7405.65 0 710.134 -140.801 0 0 0 
7480.8 0 710.176 -67.2832 0 0 0 
7556.71 0 710.207 22.1519 0 0 0 
7633.38 0 710.145 109.236 0 0 0 
7710.82 0 710.159 142.69 0 0 0 
7789.03 0 710.204 74.7027 0 0 0 
7868.04 0 710.162 -36.5422 0 0 0 
7947.83 0 710.151 -101.72 0 0 0 
8028.43 0 710.192 -109.278 0 0 0 
8109.83 0 710.182 -61.818 0 0 0 
8192.05 0 710.141 37.9464 0 0 0 
8275.1 0 710.185 104.412 0 0 0 
8358.98 0 710.193 78.5873 0 0 0 
8443.71 0 710.146 18.2204 0 0 0 
8529.28 0 710.168 -41.635 0 0 0 
8615.72 0 710.2 -80.26 0 0 0 
8703.02 0 710.154 -37.4845 0 0 0 
