# DOI:Calculated + 10.1002/adma.201703080 
# | wavelength | n | k
667 1.16526 0.28336
667.5 1.16482 0.2858
668 1.16447 0.28824
668.5 1.16421 0.29068
669 1.16404 0.29312
669.5 1.164 0.29556
670 1.16407 0.298
670.5 1.16427 0.30068
671 1.16459 0.30349
671.5 1.16508 0.30628
672 1.16571 0.30909
672.5 1.16652 0.31189
673 1.16748 0.31469
673.5 1.16862 0.31749
674 1.16994 0.32029
674.5 1.1714 0.32309
675 1.17299 0.32589
675.5 1.17469 0.32869
676 1.17645 0.33149
676.5 1.17827 0.33429
677 1.18012 0.33709
677.5 1.18199 0.3399
678 1.18383 0.3427
678.5 1.18566 0.3455
679 1.18744 0.3483
679.5 1.18918 0.3511
680 1.19089 0.3539
680.5 1.19255 0.35694
681 1.19418 0.3601
681.5 1.19575 0.36326
682 1.19728 0.36642
682.5 1.19876 0.36958
683 1.20018 0.37274
683.5 1.20157 0.37589
684 1.20289 0.37905
684.5 1.20416 0.38221
685 1.20538 0.38537
685.5 1.20653 0.38853
686 1.20764 0.39169
686.5 1.20869 0.39485
687 1.20969 0.398
687.5 1.21064 0.40116
688 1.21153 0.40432
688.5 1.21236 0.40748
689 1.21314 0.41064
689.5 1.21386 0.41373
690 1.21453 0.41658
690.5 1.21514 0.41944
691 1.21569 0.42229
691.5 1.21617 0.42514
692 1.2166 0.428
692.5 1.21696 0.43085
693 1.21725 0.4337
693.5 1.2175 0.43656
694 1.21767 0.43941
694.5 1.21778 0.44226
695 1.21786 0.44512
695.5 1.21787 0.44797
696 1.21783 0.45082
696.5 1.21774 0.45368
697 1.21761 0.45653
697.5 1.21744 0.45938
698 1.21722 0.46224
698.5 1.21696 0.46509
699 1.21667 0.46794
699.5 1.21633 0.47063
700 1.21597 0.47331
700.5 1.21557 0.476
701 1.21515 0.47868
701.5 1.2147 0.48137
702 1.21422 0.48405
702.5 1.21371 0.48674
703 1.2132 0.48942
703.5 1.21266 0.49211
704 1.21211 0.49479
704.5 1.21152 0.49747
705 1.2109 0.50016
705.5 1.21023 0.50284
706 1.20952 0.50553
706.5 1.20875 0.50821
707 1.20792 0.5109
707.5 1.20701 0.51358
708 1.20604 0.51627
708.5 1.20498 0.51895
709 1.20383 0.52163
709.5 1.20258 0.52432
710 1.20123 0.527
710.5 1.19978 0.52969
711 1.19821 0.53251
711.5 1.19652 0.536
712 1.1947 0.53949
712.5 1.19274 0.54298
713 1.19064 0.54647
713.5 1.18841 0.54996
714 1.18603 0.55345
714.5 1.18351 0.55694
715 1.1809 0.56043
715.5 1.17824 0.56392
716 1.17555 0.56741
716.5 1.17287 0.5709
717 1.17022 0.57439
717.5 1.16766 0.57788
718 1.1652 0.58137
718.5 1.16289 0.58486
719 1.16074 0.58835
719.5 1.1588 0.59184
720 1.1571 0.59513
720.5 1.15566 0.5982
721 1.15451 0.60128
721.5 1.1537 0.60436
722 1.15324 0.60743
722.5 1.15317 0.6105
723 1.15352 0.61358
723.5 1.15432 0.61666
724 1.15559 0.61973
724.5 1.15731 0.62281
725 1.15936 0.62588
725.5 1.16163 0.62896
726 1.16403 0.63203
726.5 1.16643 0.63511
727 1.16876 0.63818
727.5 1.1709 0.64126
728 1.17275 0.64433
728.5 1.1743 0.64741
729 1.17558 0.65048
729.5 1.17664 0.65356
730 1.17748 0.65663
730.5 1.17818 0.65971
731 1.17874 0.66289
731.5 1.17921 0.66654
732 1.17962 0.67019
732.5 1.17998 0.67384
733 1.18031 0.67748
733.5 1.18063 0.68113
734 1.18101 0.68478
734.5 1.18152 0.68843
735 1.18224 0.69208
735.5 1.18325 0.69573
736 1.18462 0.69938
736.5 1.18644 0.70303
737 1.18878 0.70668
737.5 1.19171 0.71032
738 1.19531 0.71397
738.5 1.19969 0.71762
739 1.20497 0.72127
739.5 1.21131 0.72494
740 1.21883 0.72866
740.5 1.22768 0.73237
741 1.2378 0.73609
741.5 1.24814 0.73981
742 1.25733 0.74352
742.5 1.26417 0.74724
743 1.26865 0.75096
743.5 1.27127 0.75467
744 1.27249 0.75839
744.5 1.27283 0.76211
745 1.27275 0.76582
745.5 1.27273 0.76954
746 1.27325 0.77326
746.5 1.2748 0.77697
747 1.27784 0.78069
747.5 1.2828 0.78441
748 1.28945 0.78812
748.5 1.29717 0.79184
749 1.30533 0.79556
749.5 1.3133 0.79921
750 1.32047 0.80272
750.5 1.32647 0.80623
751 1.33139 0.80974
751.5 1.3354 0.81325
752 1.33863 0.81676
752.5 1.34125 0.82026
753 1.3434 0.82377
753.5 1.34523 0.82728
754 1.3469 0.83079
754.5 1.34854 0.8343
755 1.35031 0.83781
755.5 1.35236 0.84131
756 1.35476 0.84482
756.5 1.35747 0.84833
757 1.36045 0.85184
757.5 1.36364 0.85535
758 1.36702 0.85886
758.5 1.37053 0.86236
759 1.37412 0.86586
759.5 1.37774 0.86908
760 1.38137 0.8723
760.5 1.38495 0.87552
761 1.38847 0.87874
761.5 1.39191 0.88196
762 1.39525 0.88518
762.5 1.39849 0.8884
763 1.4016 0.89162
763.5 1.40458 0.89484
764 1.4074 0.89806
764.5 1.41005 0.90128
765 1.41253 0.9045
765.5 1.41481 0.90772
766 1.41688 0.91094
766.5 1.41878 0.91416
767 1.4205 0.91739
767.5 1.4221 0.92061
768 1.42357 0.92383
768.5 1.42495 0.92652
769 1.42626 0.92886
769.5 1.42751 0.9312
770 1.42871 0.93355
770.5 1.42989 0.93589
771 1.43106 0.93823
771.5 1.43224 0.94058
772 1.43344 0.94292
772.5 1.43467 0.94526
773 1.43597 0.94761
773.5 1.43734 0.94995
774 1.43876 0.95229
774.5 1.44025 0.95464
775 1.44179 0.95698
775.5 1.44338 0.95932
776 1.44502 0.96166
776.5 1.4467 0.96401
777 1.44842 0.96635
777.5 1.45017 0.96869
778 1.45194 0.97104
778.5 1.45374 0.97302
779 1.45556 0.97478
779.5 1.45739 0.97654
780 1.45925 0.9783
780.5 1.46113 0.98006
781 1.46303 0.98182
781.5 1.46494 0.98358
782 1.46686 0.98534
782.5 1.4688 0.9871
783 1.47077 0.98886
783.5 1.47275 0.99062
784 1.47474 0.99238
784.5 1.47675 0.99414
785 1.47878 0.9959
785.5 1.48082 0.99766
786 1.48287 0.99942
786.5 1.48494 1.00118
787 1.48702 1.00294
787.5 1.48912 1.0047
788 1.49123 1.00646
788.5 1.49335 1.00822
789 1.49549 1.00981
789.5 1.49764 1.01136
790 1.4998 1.01292
790.5 1.50198 1.01447
791 1.50416 1.01603
791.5 1.50636 1.01758
792 1.50856 1.01914
792.5 1.51078 1.0207
793 1.513 1.02225
793.5 1.51523 1.02381
794 1.51747 1.02536
794.5 1.51969 1.02692
795 1.52192 1.02847
795.5 1.52413 1.03003
796 1.52633 1.03158
796.5 1.52852 1.03314
797 1.53069 1.03458
797.5 1.53284 1.03597
798 1.53495 1.03737
798.5 1.53705 1.03876
799 1.53911 1.04016
799.5 1.54113 1.04155
800 1.54312 1.04294
800.5 1.54507 1.04434
801 1.54696 1.04573
801.5 1.54883 1.04713
802 1.55064 1.04852
802.5 1.5524 1.04991
803 1.55413 1.05131
803.5 1.55581 1.0527
804 1.55745 1.0541
804.5 1.55904 1.05549
805 1.56059 1.05689
805.5 1.56209 1.05828
806 1.56355 1.05967
806.5 1.56497 1.06107
807 1.56634 1.06246
807.5 1.56767 1.06386
808 1.56895 1.06525
808.5 1.57018 1.06665
809 1.57136 1.06804
809.5 1.57249 1.06973
810 1.57357 1.07201
810.5 1.57458 1.0743
811 1.57555 1.07658
811.5 1.57645 1.07887
812 1.57729 1.08116
812.5 1.57805 1.08344
813 1.57875 1.08573
813.5 1.57938 1.08801
814 1.57993 1.0903
814.5 1.5804 1.09258
815 1.5808 1.09487
815.5 1.58112 1.09715
816 1.58135 1.09944
816.5 1.5815 1.10173
817 1.58155 1.10401
817.5 1.58151 1.1063
818 1.58138 1.10858
818.5 1.58114 1.11087
819 1.5808 1.11315
819.5 1.58035 1.11552
820 1.57979 1.11803
820.5 1.57911 1.12055
821 1.57832 1.12306
821.5 1.57741 1.12558
822 1.57642 1.12809
822.5 1.57535 1.13061
823 1.57423 1.13312
823.5 1.57309 1.13563
824 1.57193 1.13815
824.5 1.57078 1.14066
825 1.56968 1.14318
825.5 1.56862 1.14569
826 1.56765 1.14821
826.5 1.56674 1.15072
827 1.56591 1.15324
827.5 1.56513 1.15575
828 1.56439 1.15827
828.5 1.56368 1.16078
829 1.563 1.1633
829.5 1.56232 1.16609
830 1.56164 1.1694
830.5 1.56096 1.17271
