# DOI:10.1002/adom.202000319 + 10.1002/aenm.201702854 
# | wavelength | n | k
696.5 2.393157 0.085558
697.0 2.390392 0.084723
697.5 2.387590 0.083888
698.0 2.384742 0.083053
698.5 2.381834 0.082218
699.0 2.378857 0.081383
699.5 2.375800 0.080548
700.0 2.372650 0.079713
700.5 2.369398 0.078878
701.0 2.366051 0.078043
701.5 2.362623 0.077207
702.0 2.359128 0.076601
702.5 2.355581 0.076301
703.0 2.351997 0.076001
703.5 2.348389 0.075701
704.0 2.344774 0.075401
704.5 2.341165 0.075100
705.0 2.337577 0.074800
705.5 2.334025 0.074500
706.0 2.330523 0.074200
706.5 2.327086 0.073899
707.0 2.323728 0.073599
707.5 2.320465 0.073299
708.0 2.317310 0.072999
708.5 2.314278 0.072699
709.0 2.311384 0.072398
709.5 2.308640 0.072098
710.0 2.306041 0.071798
710.5 2.303581 0.071498
711.0 2.301254 0.071197
711.5 2.299051 0.070897
712.0 2.296967 0.070597
712.5 2.294995 0.070297
713.0 2.293127 0.069997
713.5 2.291356 0.069696
714.0 2.289676 0.069396
714.5 2.288080 0.069096
715.0 2.286561 0.068796
715.5 2.285112 0.068518
716.0 2.283726 0.068278
716.5 2.282396 0.068037
717.0 2.281115 0.067797
717.5 2.279876 0.067556
718.0 2.278673 0.067315
718.5 2.277499 0.067075
719.0 2.276346 0.066834
719.5 2.275208 0.066594
720.0 2.274077 0.066353
720.5 2.272948 0.066113
721.0 2.271812 0.065872
721.5 2.270664 0.065632
722.0 2.269495 0.065391
722.5 2.268301 0.065150
723.0 2.267080 0.064910
723.5 2.265833 0.064669
724.0 2.264562 0.064429
724.5 2.263268 0.064188
725.0 2.261953 0.063948
725.5 2.260616 0.063707
726.0 2.259260 0.063467
726.5 2.257886 0.063226
727.0 2.256495 0.062985
727.5 2.255088 0.062745
728.0 2.253666 0.062504
728.5 2.252232 0.062264
729.0 2.250785 0.062023
729.5 2.249327 0.061783
730.0 2.247859 0.061542
730.5 2.246384 0.061302
731.0 2.244900 0.061061
731.5 2.243411 0.060820
732.0 2.241918 0.060629
732.5 2.240420 0.060454
733.0 2.238921 0.060279
733.5 2.237420 0.060104
734.0 2.235919 0.059928
734.5 2.234420 0.059753
735.0 2.232923 0.059578
735.5 2.231431 0.059403
736.0 2.229943 0.059228
736.5 2.228461 0.059053
737.0 2.226987 0.058878
737.5 2.225522 0.058703
738.0 2.224066 0.058527
738.5 2.222622 0.058352
739.0 2.221190 0.058177
739.5 2.219771 0.058002
740.0 2.218368 0.057827
740.5 2.216980 0.057652
741.0 2.215610 0.057477
741.5 2.214258 0.057302
742.0 2.212925 0.057126
742.5 2.211611 0.056951
743.0 2.210314 0.056776
743.5 2.209035 0.056601
744.0 2.207774 0.056426
744.5 2.206530 0.056251
745.0 2.205303 0.056076
745.5 2.204092 0.055901
746.0 2.202897 0.055725
746.5 2.201718 0.055631
747.0 2.200554 0.055550
747.5 2.199406 0.055469
748.0 2.198272 0.055388
748.5 2.197153 0.055307
749.0 2.196047 0.055226
749.5 2.194956 0.055145
750.0 2.193878 0.055064
750.5 2.192812 0.054984
751.0 2.191760 0.054903
751.5 2.190720 0.054822
752.0 2.189692 0.054741
752.5 2.188675 0.054660
753.0 2.187670 0.054579
753.5 2.186676 0.054498
754.0 2.185693 0.054417
754.5 2.184720 0.054336
755.0 2.183757 0.054255
755.5 2.182803 0.054174
756.0 2.181859 0.054094
756.5 2.180924 0.054013
757.0 2.179998 0.053932
757.5 2.179080 0.053851
758.0 2.178169 0.053770
758.5 2.177267 0.053689
759.0 2.176371 0.053608
759.5 2.175483 0.053527
760.0 2.174601 0.053446
760.5 2.173726 0.053365
761.0 2.172858 0.053284
761.5 2.171995 0.053203
762.0 2.171140 0.053123
762.5 2.170290 0.053042
763.0 2.169447 0.052961
763.5 2.168611 0.052880
764.0 2.167780 0.052799
764.5 2.166956 0.052743
765.0 2.166137 0.052710
765.5 2.165325 0.052676
766.0 2.164519 0.052643
766.5 2.163719 0.052610
767.0 2.162924 0.052577
767.5 2.162136 0.052543
768.0 2.161353 0.052510
768.5 2.160576 0.052477
769.0 2.159804 0.052444
769.5 2.159039 0.052410
770.0 2.158278 0.052377
770.5 2.157524 0.052344
771.0 2.156774 0.052311
771.5 2.156030 0.052278
772.0 2.155292 0.052244
772.5 2.154559 0.052211
773.0 2.153831 0.052178
773.5 2.153108 0.052145
774.0 2.152390 0.052111
774.5 2.151677 0.052078
775.0 2.150970 0.052045
775.5 2.150267 0.052012
776.0 2.149569 0.051978
776.5 2.148877 0.051945
777.0 2.148188 0.051912
777.5 2.147505 0.051879
778.0 2.146826 0.051846
778.5 2.146152 0.051812
779.0 2.145483 0.051779
779.5 2.144818 0.051746
780.0 2.144158 0.051713
780.5 2.143502 0.051679
781.0 2.142850 0.051646
781.5 2.142203 0.051613
782.0 2.141560 0.051580
782.5 2.140921 0.051547
783.0 2.140286 0.051513
783.5 2.139656 0.051480
784.0 2.139029 0.051405
784.5 2.138407 0.051264
785.0 2.137788 0.051124
785.5 2.137173 0.050984
786.0 2.136562 0.050844
786.5 2.135955 0.050704
787.0 2.135352 0.050564
787.5 2.134752 0.050424
788.0 2.134156 0.050284
